Product_ID,Category,Supplier_Rating,Lead_Time,Inventory_Level,Urgent_Restock,Seasonal_Demand,Warehouse_Capacity,Transportation_Cost,Product_Lifecycle_Stage,Returns_Percentage,Demand_Variability
1,Clothing,5,2.356104548,133.6884146,0,0.975630298,4292.997232,5.968367216,Maturity,7.421916366,1
2,Electronics,2,2.24225913,107.931754,1,1,3713.591799,4.784764585,Growth,9.259971824,0.989489142
3,Furniture,4,1.058793868,19.81867776,0,0.755223836,3344.413601,5.482204729,Growth,5.021803308,1
4,Food,4,3.415359769,303.1708298,0,1,4265.903414,6.459008619,,10.23710574,0.880874275
5,Furniture,5,2.632704032,121.4865677,0,0.744322266,2946.290911,7.098981709,Growth,1.397920148,1
6,Clothing,3,1.521032513,47.66915927,0,0.992707508,4498.843714,7.058836709,Decline,3.562429575,1
7,Clothing,5,2.653985936,130.2808249,0,0.99170889,4284.078671,5.479704067,Maturity,7.346286634,1
8,Food,3,2.413528561,140.3228986,0,1,3954.783147,6.591339217,Maturity,9.383331258,0.95664966
9,Electronics,1,2.842227462,188.4300047,1,1,1493.906781,6.535454045,,5.054366885,1
10,Food,2,2.425685165,83.81508352,1,1,2946.290911,6.190729636,Decline,5.866000263,1
11,Food,1,2.858427774,154.3385678,1,1,4365.119551,6.236571993,Decline,6.03001239,0.865601311
12,Electronics,4,2.0135962,81.20994151,0,0.884250523,1647.742114,6.246873927,Decline,5.863104925,0.835057519
13,Electronics,5,2.654049719,171.1742213,0,1,4657.398904,5.054837509,Decline,3.346614908,1
14,Food,2,2.627327572,157.1552882,1,0.857306384,3408.633242,5.466832566,Maturity,7.245281266,0.926913058
15,Furniture,3,1.170191288,38.25306036,0,0.99170889,4929.809115,6.085724552,Growth,1.025814875,1
16,Food,2,3.50524925,287.8931406,1,1,1386.461253,5.524886699,Growth,7.756312138,0.890553401
17,Food,4,2.742930438,194.2512219,0,0.907656574,1817.231288,6.315084363,Decline,5.283442981,0.997252206
18,Electronics,2,0.744932122,26.66224907,1,0.676601093,3612.744736,6.859508139,Introductory,4.224440529,0.999799414
19,Furniture,2,3.203266242,265.3350773,1,0.872460913,3232.900891,6.140942217,Introductory,1.311055147,0.834491686
20,Clothing,3,3.222208007,242.4580493,0,1,2946.290911,5.72184675,Maturity,5.892301986,0.986475937
21,Clothing,2,2.672784929,151.1263384,1,0.99170889,2637.83227,6.489633918,Maturity,4.835771305,1
22,Electronics,1,2.622617042,146.9113421,1,1,4327.583389,6.914530225,Growth,4.835771305,1
23,Food,3,2.656636597,152.3144297,0,1,3573.525187,6.292216295,Growth,5.658225306,1
24,Furniture,4,3.44305081,301.3134682,0,0.903641695,2412.975098,6.49827172,Introductory,3.215044098,1
25,Clothing,2,3.168838066,234.1314795,1,0.72218479,2614.837315,7.185444767,Growth,1.358976175,1
26,Clothing,2,3.15497232,208.748057,1,1,4083.532306,5.382651671,Introductory,0.078647113,0.858510702
27,Electronics,2,2.387650676,115.6259587,1,1,3697.517613,4.85263132,Growth,8.777993033,0.833570558
28,Electronics,2,2.173354017,98.71623097,1,0.906075972,3732.80141,6.299055153,Introductory,0.087748753,1
29,Clothing,4,2.808868935,220.1854742,0,1,3766.07762,5.885827867,Maturity,5.089293486,0.936053951
30,Clothing,2,3.080690545,257.0482707,1,0.82234196,4004.013871,6.106936289,Maturity,2.827390838,1
31,Furniture,2,3.274373868,247.7959913,1,1,1294.271489,6.200208599,Growth,1.29392817,1
32,Electronics,1,0.806022911,40.15288347,1,1,1444.204409,6.383409224,Decline,4.083744633,1
33,Electronics,5,2.790153884,180.5688875,0,1,4603.479586,4.768278734,Decline,3.420259858,0.857390311
34,Furniture,2,3.327602499,306.6883779,1,1,1618.739362,6.123160213,Maturity,3.733507855,1
35,Clothing,3,1.361468803,49.65963867,0,1,4538.675091,6.190729636,Decline,3.144714849,1
36,Electronics,4,1.902734486,84.83484918,0,1,1818.914317,4.701717521,Growth,0.830980973,0.888475459
37,Electronics,4,2.828470255,197.1461444,0,1,2932.867787,6.522841646,Maturity,4.835771305,0.93755058
38,Food,1,1.76621697,175.4301869,1,0.799041183,4667.708455,6.551845663,Introductory,3.731421618,1
39,Food,2,2.627327572,144.2691267,1,0.945604152,3149.773417,5.443718493,Introductory,2.695553344,1
40,Electronics,4,3.458667554,281.6892057,0,0.799080124,2456.233169,6.939792309,Maturity,8.535697854,0.807169175
41,Food,2,2.093889483,175.4301869,1,1,5035.526963,5.150514737,Decline,8.256214549,1
42,Furniture,1,2.682036666,175.4301869,1,1,3952.066607,6.555344807,Maturity,2.790335583,1
